faction_id|name|id|type|cp_cost|legend|turn|phase|detachment|detachment_id|description|Unnamed: 11
AC|PUNISHMENT INESCAPABLE|9754007|Solar Spearhead  Strategic Ploy Stratagem|1.0|The Ten Thousand are relentless in pursuing the Emperors foes and thorough in their annihilation. No armour, sorcery or hiding place can shield an enemy from their wrath.|Your turn|Shooting phase|Solar Spearhead|986.0|WHEN: Your Shooting phase.TARGET: One ADEPTUS CUSTODES unit from your army that has not been selected to shoot this phase.EFFECT: Until the end of the phase, ranged weapons equipped by models in your unit have the [IGNORES COVER] ability, and until the end of the phase, each time a model in your unit makes an attack, you can ignore any or all modifiers to that attacks Ballistic Skill characteristic and/or any or all modifiers to the Hit roll.|
AC|RELENTLESS PERSECUTION|9754006|Solar Spearhead  Strategic Ploy Stratagem|1.0|Custodians coax wrathful fury from their war engines machine spirits to hunt down and eliminate their foes at speed.|Your turn|Movement phase|Solar Spearhead|986.0|WHEN: Your Movement phase, just after an ADEPTUS CUSTODES VEHICLE unit from your army Advances.TARGET: That Adeptus Custodes Vehicle unit.EFFECT: Until the end of the turn, your unit is eligible to shoot in a turn in which it Advanced. If your unit has the Walker keyword, until the end of the turn, your unit is eligible to shoot and declare a charge in a turn in which it Advanced instead.|
AC|UNSTOPPABLE|9754005|Solar Spearhead  Strategic Ploy Stratagem|1.0|Armoured in adamantine and possessed of furious machine spirits, the vehicles of the Adeptus Custodes are almost impossible to stop in their tracks.|Your turn|Movement or Charge phase|Solar Spearhead|986.0|WHEN: Your Movement phase or your Charge phase.TARGET: One Adeptus Custodes Vehicle or Adeptus Custodes Mounted unit from your army.EFFECT: Until the end of the phase, each time a model in your unit makes a move, it can move through terrain features.|
AC|TALONED PINCER|8922006|Talons Of The Emperor  Battle Tactic Stratagem|1.0|Every move the enemy makes only sees them fall.|Opponents turn|Movement phase|Talons Of The Emperor|861.0|"WHEN: Your opponents Movement phase, just after an enemy unit ends a Normal, Advance or Fall Back move.TARGET: Up to two Adeptus Custodes units from your army that are within 9"" of that enemy unit.EFFECT: Your units can make a Normal move of up to 6"".RESTRICTIONS: You cannot select units that are within Engagement Range of one or more enemy units. You can only select two units if one (and only one) of them is an Anathema Psykana unit and both are within 6"" of each other."|
AC|EMPERORS EXECUTIONERS|8922005|Talons Of The Emperor  Battle Tactic Stratagem|2.0|The Talons of the Emperor tear apart their prey.|Either players turn|Fight phase|Talons Of The Emperor|861.0|"WHEN: Start of the Fight phase.TARGET: Up to two Adeptus Custodes units from your army.EFFECT: Until the end of the phase, each time a model in one of your units targets an enemy unit that is below its Starting Strength, add 1 to the Wound roll.RESTRICTIONS: You can only select two units if one (and only one) of them is an Anathema Psykana unit and both are within 6"" of each other."|
AC|EMPYRIC SEVERANCE|8922004|Talons Of The Emperor  Battle Tactic Stratagem|1.0|Null Maidens quash the manifestations of witches.|Either players turn|Shooting or Fight phase|Talons Of The Emperor|861.0|"WHEN: Your opponents Shooting phase or the Fight phase, just after an enemy unit has selected its targets.TARGET: One ADEPTUS CusTODES unit from your army that was selected as the target of one or more of the attacking units attacks, and one friendly ANATHEMA PSYKANA unit within 6"" of that ADEPTUS CUSTODES unit.EFFECT: Until the end of the phase, your unit has the Feel No Pain 4+ ability against Psychic attacks and mortal wounds."|
AC|TALONS INTERLOCKED|8922003|Talons Of The Emperor  Battle Tactic Stratagem|1.0|With practiced ease, the Talons of the Emperor establish vicious crossfires to cut the foe apart.|Your turn|Shooting phase|Talons Of The Emperor|861.0|"WHEN: Your Shooting phase.TARGET: Up to two ADEPTUS CUSTODES INFANTRY units from your army, and one enemy unit that is an eligible target for all of those units.EFFECT: Until the end of the phase, your units can only target that enemy unit, but each time a model in one of your units makes a ranged attack, improve the Strength and Armour Penetration characteristics of that attack by 1.RESTRICTIONS: You can only select two units if one (and only one) of them is an ANATHEMA PSYKANA unit and both are within 6"" of each other."|
AC|SHIELD OF HONOUR|8922007|Talons Of The Emperor  Epic Deed Stratagem|1.0|It is second nature for Custodes to place themselves between their comrades and potential peril.|Opponents turn|Shooting phase|Talons Of The Emperor|861.0|"WHEN: Your opponents Shooting phase, just after an enemy unit has selected its targets.TARGET: One Anathema Psykana Infantry unit from your army that was selected as the target of one or more of the attacking units attacks, and one other friendly Adeptus Custodes Infantry unit (excluding ANATHEMA PSYKANA units) within 6"" of that ANATHEMA PSYKANA INFANTRY unit.EFFECT: Until the end of the phase, any attack that targets your ANATHEMA PSYKANA unit must instead target your other ADEPTUS CUSTODES unit (unless it is not an eligible target)."|
AC|HUNT AS ONE|8922002|Talons Of The Emperor  Strategic Ploy Stratagem|1.0|Custodians and Null Maidens cover one another seamlessly as they manoeuvre to corner their prey.|Your turn|Movement phase|Talons Of The Emperor|861.0|"WHEN: Start of your Movement phase.TARGET: Up to two ADEPTUS CUSTODES units from your army.EFFECT: Until the end of the turn, your units are eilgible to shoot and/or declare a charge in a turn in which they Fell Back.RESTRICTIONS: You can only select two units if one (and only one) of them is an ANATHEMA PSYKANA unit and both are within 6"" of each other."|
AC|ARTIFICER ROUNDS|9265004|Voyagers in Darkness  Battle Tactic Stratagem|1.0|These hand-crafted bolt shells are made to fragment with particular ferocity, making them ideal for boarding actions.|Your turn|Shooting phase|Voyagers in Darkness|909.0|"WHEN: Your Shooting phase.TARGET: One ADEPTUS CUSTODES unit from your army that has not been selected to shoot this phase.EFFECT: Until the end of the phase, ranged weapons equipped by models in your unit (excluding ballistus grenade launchers) have the [SUSTAINED HITS 1] ability while targeting units within 6""."|
AC|BREACHING BEHEMOTHS|9265003|Voyagers in Darkness  Strategic Ploy Stratagem|1.0|When unleashed aboard an enemy voidship, Custodians simply smash a path through any who stand against them by their sheer armoured might.|Your turn|Movement phase|Voyagers in Darkness|909.0|WHEN: Your Movement phase.TARGET: One ADEPTUS CUSTODES unit from your army (excluding ANATHEMA PSYKANA units) that has not been selected to move this phase.EFFECT: Until the end of the phase, each time your unit makes a Normal, Advance or Fall Back move, models in your unit can move through other models as if they were not there. In addition, any Desperate Escape tests taken for models in your unit are automatically passed.|
AC|AURIC STORM|9265005|Voyagers in Darkness  Strategic Ploy Stratagem|1.0|Even the boldest foes falter before the sudden and unstoppable onslaught of the Allarus Terminators.|Your turn|Charge phase|Voyagers in Darkness|909.0|WHEN: Your Charge phase, just after an ALLARUS CUSTODIANS unit from your army ends a Charge move.TARGET: That ALLARUS CUSTODIANS unit.EFFECT: Each enemy unit within Engagement Range of your unit must take a Battle-shock test, subtracting 1 from the result.|
AC|INESCAPABLE VENGEANCE|9265002|Voyagers in Darkness  Strategic Ploy Stratagem|1.0|The incredible sensory acuity of the Custodians' wargear coupled with their superhuman senses means no foe can hide from them.|Your turn|Movement phase|Voyagers in Darkness|909.0|WHEN: Your Movement phase.TARGET: One ADEPTUS CUSTODES unit from your army (excluding ANATHEMA PSYKANA units) that has not been selected to move this phase.EFFECT: Until the end of the phase, each time a model in your unit makes a Pile-in or Consolidation move, it can ignore Walls and other models for the purposes of determining which enemy units are visible to its own.|
AdM|MOTIVE IMPERATIVE|8573002|Cohort Cybernetica  Battle Tactic Stratagem|1.0|Intensifying the locomotive protocols of a war engine - while not dishonouring its machine spirit - is a millennia-proven method to hasten the foes demise.|Your turn|Command phase|Cohort Cybernetica|823.0|"WHEN: Your Command phase.TARGET: One ADEPTUS MECHANICUS VEHICLE unit from your army.EFFECT: Until the start of your next Command phase, add 3"" to the Move characteristic of models in your unit and add 1 to Advance and Charge rolls made for it."|
AdM|BENEVOLENCE OF THE OMNISSIAH|8573007|Cohort Cybernetica  Battle Tactic Stratagem|1.0|A protective blessing chanted in pentakairic Novabyte moves machine spirits to defy the most esoteric of assaults.|Your turn|Command phase|Cohort Cybernetica|823.0|WHEN: Your Command phase.TARGET: One LEGIO CYBERNETICA or ADEPTUS MECHANICUS VEHICLE unit from your army.EFFECT: Until the start of your next Command phase, models in your unit have the Feel No Pain  6+ ability, which is improved to Feel No Pain 5+ against mortal wounds.|
AdM|AUTO-DIVINATORY TARGETING|8573003|Cohort Cybernetica  Battle Tactic Stratagem|1.0|Encoded with the schemata of the enemy's fortified battle lines and auto-codified vectors of attack, the Cohort's war engines are perfectly aligned to deliver the Machine God's wrath.|Your turn|Command phase|Cohort Cybernetica|823.0|WHEN: Your Command phase.TARGET: One LEGIO CYBERNETICA or ADEPTUS MECHANICUS VEHICLE unit from your army, and one objective marker.EFFECT: Until the start of your next Command phase, ranged weapons equipped by models in your unit have a Ballistic Skill characteristic of 3+ and the [IGNORES COVER] ability, but they can only target units within range of the selected objective marker.|
